Brands,Link_Brands,download_flag
Adamo,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Adamo,True
Agrale,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Agrale,True
Alfa Romeo,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Alfa%20Romeo,True
Ariel,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Ariel,True
Asia,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Asia,True
Aston Martin,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Aston%20Martin,True
Audi,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Audi,True
Avallone,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Avallone,True
Bentley,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Bentley,True
Bianco,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Bianco,True
BMW,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=BMW,True
BRM,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=BRM,True
Bugatti,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Bugatti,True
BYD,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=BYD,True
Cadillac,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Cadillac,True
Caterham,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Caterham,True
CBT,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=CBT,True
Chamonix,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Chamonix,True
Chana,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Chana,True
Changan,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Changan,True
Chery,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Chery,True
Chevrolet,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Chevrolet,True
Chrysler,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Chrysler,True
Citroen,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Citroen,True
Cross Lander,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Cross%20Lander,True
Daewoo,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Daewoo,True
Daihatsu,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Daihatsu,True
DeLorean,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=DeLorean,True
Dodge,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Dodge,True
Effa,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Effa,True
Engesa,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Engesa,True
Enseada,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Enseada,True
Envemo,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Envemo,True
Farus,https://www.carrosnaweb.com.br/catalogofabricante.asp?fabricante=Farus,True
