Brands,Familys,Years,Link_Years,download_flag
Hyundai,Galloper,1999,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Hyundai&varnome=Galloper&anoini=1999&anofim=1999,False
Hyundai,Galloper,1998,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Hyundai&varnome=Galloper&anoini=1998&anofim=1998,False
Audi,TTS,2018,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=TTS&anoini=2018&anofim=2018,False
Audi,TTS,2017,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=TTS&anoini=2017&anofim=2017,False
Audi,TTS,2016,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=TTS&anoini=2016&anofim=2016,True
Audi,TTS,2010,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=TTS&anoini=2010&anofim=2010,True
Chevrolet,Corsa Picape,2003,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=2003&anofim=2003,False
Chevrolet,Corsa Picape,2002,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=2002&anofim=2002,False
Chevrolet,Corsa Picape,2001,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=2001&anofim=2001,False
Chevrolet,Corsa Picape,2000,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=2000&anofim=2000,True
Chevrolet,Corsa Picape,1999,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=1999&anofim=1999,True
Chevrolet,Corsa Picape,1998,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=1998&anofim=1998,False
Chevrolet,Corsa Picape,1997,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=1997&anofim=1997,False
Chevrolet,Corsa Picape,1996,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=1996&anofim=1996,False
Chevrolet,Corsa Picape,1995,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Chevrolet&varnome=Corsa%20Picape&anoini=1995&anofim=1995,True
Citroen,Aircross,2021,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2021&anofim=2021,False
Citroen,Aircross,2020,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2020&anofim=2020,False
Citroen,Aircross,2019,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2019&anofim=2019,False
Citroen,Aircross,2018,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2018&anofim=2018,False
Citroen,Aircross,2017,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2017&anofim=2017,True
Citroen,Aircross,2016,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2016&anofim=2016,True
Citroen,Aircross,2015,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2015&anofim=2015,False
Citroen,Aircross,2014,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2014&anofim=2014,False
Citroen,Aircross,2013,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2013&anofim=2013,False
Citroen,Aircross,2012,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2012&anofim=2012,True
Citroen,Aircross,2011,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Citroen&varnome=Aircross&anoini=2011&anofim=2011,True
Audi,RS Q3 Sportback,2022,https://www.carrosnaweb.com.br/catalogo.asp?fabricante=Audi&varnome=RS%20Q3%20Sportback&anoini=2022&anofim=2022,True
