Brands,Familys,Link,download_flag
Smart,Fortwo,https://www.fichacompleta.com.br/carros/smart/fortwo/,False
Delorean,Dmc-12,https://www.fichacompleta.com.br/carros/delorean/dmc-12/,False
Asia,Rocsta,https://www.fichacompleta.com.br/carros/asia/rocsta/,False
Asia,Topic,https://www.fichacompleta.com.br/carros/asia/topic/,False
Asia,Towner,https://www.fichacompleta.com.br/carros/asia/towner/,False
Rolls-royce,Cullinan,https://www.fichacompleta.com.br/carros/rolls-royce/cullinan/,False
Rolls-royce,Dawn,https://www.fichacompleta.com.br/carros/rolls-royce/dawn/,False
Rolls-royce,Ghost,https://www.fichacompleta.com.br/carros/rolls-royce/ghost/,False
Rolls-royce,Phantom,https://www.fichacompleta.com.br/carros/rolls-royce/phantom/,False
Rolls-royce,Wraith,https://www.fichacompleta.com.br/carros/rolls-royce/wraith/,False
Cross Lander,Cl 244,https://www.fichacompleta.com.br/carros/cross-lander/cl-244/,False
Engesa,4,https://www.fichacompleta.com.br/carros/engesa/4/,False
Brm,M-11,https://www.fichacompleta.com.br/carros/brm/m-11/,False
Daihatsu,Applause,https://www.fichacompleta.com.br/carros/daihatsu/applause/,False
Daihatsu,Charade,https://www.fichacompleta.com.br/carros/daihatsu/charade/,False
Daihatsu,Charade Sedan,https://www.fichacompleta.com.br/carros/daihatsu/charade-sedan/,False
Daihatsu,Cuore,https://www.fichacompleta.com.br/carros/daihatsu/cuore/,False
Daihatsu,Feroza,https://www.fichacompleta.com.br/carros/daihatsu/feroza/,False
Daihatsu,Gran Move,https://www.fichacompleta.com.br/carros/daihatsu/gran-move/,False
Daihatsu,Terios,https://www.fichacompleta.com.br/carros/daihatsu/terios/,False
Tac,Stark,https://www.fichacompleta.com.br/carros/tac/stark/,False
