proxy,err_count,status
45.152.188.241:3128,23,on
20.44.206.138:80,25,on
177.87.144.122:8086,3,on
103.155.217.52:41367,27,on
115.144.79.198:23500,22,on
8.219.97.248:80,27,on
144.91.85.172:3128,24,on
209.79.65.132:8080,33,on
165.22.40.154:3128,22,on
35.189.184.15:3128,23,on
144.49.99.215:8080,25,on
186.121.235.66:8080,25,on
66.94.99.30:443,25,on
202.86.138.18:8080,29,on
193.111.11.12:3128,28,on
104.155.197.98:3128,20,on
35.194.188.64:3128,29,on
35.189.183.169:3128,24,on
34.101.245.121:80,32,on
200.105.215.22:33630,27,on
35.221.203.144:3128,26,on
104.199.219.13:3128,22,on
91.107.247.115:4000,20,on
34.80.202.6:3128,27,on
142.93.170.143:3128,30,on
34.81.113.225:3128,30,on
207.154.245.8:3128,27,on
203.85.120.69:8080,29,on
20.219.183.188:3129,35,on
213.136.101.37:3128,24,on
213.136.101.36:3128,34,on
37.58.150.207:3129,24,on
36.91.98.115:8181,1,on
181.189.254.35:999,17,on
195.201.226.34:4000,8,on
186.125.152.18:8080,33,on
189.173.74.107:999,28,on
113.20.118.15:8081,27,on
189.232.80.3:999,34,on
115.144.221.125:10761,18,on
8.209.114.72:3129,33,on
103.156.17.35:8181,24,on
116.197.132.166:8989,11,on
35.194.228.247:3128,23,on
212.227.174.35:32014,31,on
136.243.88.20:26541,34,on
157.245.27.9:3128,22,on
66.85.156.68:2000,6,on
91.7.77.254:3128,20,on
212.23.175.80:8443,27,on
51.222.97.87:8080,6,on
103.176.108.1:1338,29,on
34.143.228.238:8080,23,on
35.242.186.205:8080,23,on
103.11.0.26:8080,25,on
78.38.93.22:3128,24,on
213.97.161.224:3128,11,on
31.31.202.14:8080,20,on
5.161.96.166:3128,3,on
158.101.21.118:8080,24,on
20.219.177.73:3129,20,on
20.31.205.142:3128,23,on
79.127.126.12:3128,13,on
191.242.177.78:3128,20,on
112.217.162.5:3128,25,on
34.87.55.162:8080,13,on
193.107.104.57:3128,23,on
188.136.154.52:7060,26,on
181.129.183.19:53281,29,on
113.130.124.202:8080,37,on
176.95.54.202:83,34,on
103.176.108.105:1433,20,on
136.243.55.199:3128,3,on
181.212.45.226:8080,27,on
167.114.96.27:9300,9,on
201.150.119.170:999,26,on
212.112.113.178:3128,17,on
78.25.123.69:3128,21,on
154.73.28.193:8080,16,on
115.124.76.242:8080,27,on
93.126.86.77:41890,7,on
46.53.187.235:3128,22,on
91.107.247.138:4000,16,on
193.57.209.106:3128,14,on
45.224.20.130:999,31,on
45.77.26.228:6789,23,on
118.69.111.51:8080,26,on
131.186.60.101:3128,23,on
103.169.130.49:8080,28,on
181.225.101.50:999,21,on
201.182.251.140:999,21,on
190.194.71.7:8080,27,on
190.116.56.34:999,14,on
20.33.5.27:8888,2,on
36.67.186.5:8080,22,on
62.204.141.29:800,27,on
116.212.140.118:8080,28,on
190.144.238.66:8080,9,on
38.56.70.97:999,25,on
38.44.237.229:999,26,on
