Brands,Familys,Link_Familys,download_flag
Infiniti,FX35,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Infiniti&modelo=FX35,True
Infiniti,FX50,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Infiniti&modelo=FX50,True
Ferrari,296,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=296,True
Ferrari,348,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=348,True
Ferrari,360,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=360,True
Ferrari,456,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=456,True
Ferrari,458,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=458,True
Ferrari,488,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=488,True
Ferrari,512,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=512,True
Ferrari,550,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=550,True
Ferrari,575M,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=575M,True
Ferrari,599,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=599,True
Ferrari,612,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=612,True
Ferrari,812,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=812,True
Ferrari,California,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=California,True
Ferrari,Enzo,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=Enzo,True
Ferrari,F12,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=F12,True
Ferrari,F355,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=F355,True
Ferrari,F40,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=F40,True
Ferrari,F430,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=F430,True
Ferrari,F50,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=F50,True
Ferrari,F8,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=F8,True
Ferrari,FF,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=FF,True
Ferrari,FXX,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=FXX,True
Ferrari,GTC4Lusso,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=GTC4Lusso,True
Ferrari,LaFerrari,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=LaFerrari,True
Ferrari,Portofino,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=Portofino,True
Ferrari,Purosangue,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=Purosangue,True
Ferrari,Roma,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=Roma,True
Ferrari,SF90,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=SF90,True
Ferrari,Testarossa,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Ferrari&modelo=Testarossa,True
Puma,GT,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Puma&modelo=GT,True
Puma,GTB,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Puma&modelo=GTB,True
Puma,GTC,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Puma&modelo=GTC,True
Puma,GTE,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Puma&modelo=GTE,True
Puma,GTI,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Puma&modelo=GTI,True
Puma,GTS,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Puma&modelo=GTS,True
Chana,Cargo,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chana&modelo=Cargo,True
Chana,Family,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chana&modelo=Family,True
Hennessey,Venom,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Hennessey&modelo=Venom,True
Chevrolet,A-10,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=A-10,True
Chevrolet,A-20,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=A-20,True
Chevrolet,Agile,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Agile,True
Chevrolet,Astra,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Astra,True
Chevrolet,Astra Sedan,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Astra%20Sedan,True
Chevrolet,Astra Wagon,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Astra%20Wagon,True
Chevrolet,Blazer,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Blazer,True
Chevrolet,Bolt,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Bolt,True
Chevrolet,Bolt EUV,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Bolt%20EUV,True
Chevrolet,Bonanza,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Bonanza,True
Chevrolet,C-10,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=C-10,True
Chevrolet,C-14,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=C-14,True
Chevrolet,C-20,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=C-20,True
Chevrolet,Calibra,https://www.carrosnaweb.com.br/catalogomodelo.asp?fabricante=Chevrolet&modelo=Calibra,True
